date,name,Active,Recovered,Deaths,TotalConfr,Suspect,Probable
"August 6, 2020",Acacia,17,67,1,85,0,2
"August 6, 2020",Baritan,24,32,1,57,1,26
"August 6, 2020",Bayan-bayanan,13,35,4,52,0,10
"August 6, 2020",Catmon,31,132,10,173,1,32
"August 6, 2020",Concepcion,11,96,5,112,0,23
"August 6, 2020",Dampalit,20,43,2,65,0,6
"August 6, 2020",Flores,12,29,4,45,0,14
"August 6, 2020",Hulong Duhat,20,59,4,83,1,28
"August 6, 2020",Ibaba,29,53,11,93,0,15
"August 6, 2020",Longos,55,173,18,246,0,43
"August 6, 2020",Maysilo,21,35,3,59,0,5
"August 6, 2020",Muzon,25,40,5,70,0,17
"August 6, 2020",Niugan,10,48,2,60,0,12
"August 6, 2020",Panghulo,21,32,2,55,1,10
"August 6, 2020",Potrero,81,136,7,224,1,17
"August 6, 2020",San Agustin,27,71,5,103,0,10
"August 6, 2020",Santulan,23,47,3,73,3,11
"August 6, 2020",Tanong,35,81,6,122,0,19
"August 6, 2020",Tinajeros,34,61,8,103,1,16
"August 6, 2020",Tonsuya,67,99,11,177,1,24
"August 6, 2020",Tugatog,49,101,8,158,0,17
