date,name,Active,Recovered,Deaths,TotalConf,Probable,Suspect
"August 4, 2020",Alabang,123,153,7,283,117,132
"August 4, 2020",Ayala Alabang,15,40,10,65,66,12
"August 4, 2020",Bayanan,93,71,7,171,109,19
"August 4, 2020",Buli,35,15,2,52,29,45
"August 4, 2020",Cupang,65,84,9,158,77,16
"August 4, 2020",Poblacion,113,130,12,255,151,45
"August 4, 2020",Putatan,129,186,11,326,140,130
"August 4, 2020",Sucat,65,107,10,182,68,195
"August 4, 2020",Tunasan,78,107,9,194,32,173
"August 4, 2020",SUM,716,893,77,1686,789,767
