date,name,District,Active,Recovered,Deaths,TotalConfr
"August 5, 2020",B.F. Homes,2,67,301,14,382
"August 5, 2020",Baclaran,1,59,103,6,168
"August 5, 2020",Don Bosco,2,43,90,7,140
"August 5, 2020",Don Galo,1,46,40,1,87
"August 5, 2020",La Huerta,1,43,46,3,92
"August 5, 2020",Marcelo Green,2,17,132,6,155
"August 5, 2020",Merville,2,45,36,4,85
"August 5, 2020",Moonwalk,2,82,166,9,257
"August 5, 2020",San Antonio,2,126,133,9,268
"August 5, 2020",San Dionisio,1,27,269,6,302
"August 5, 2020",San Isidro,1,79,140,7,226
"August 5, 2020",San Martin De Porres,2,48,36,1,85
"August 5, 2020",Sto. Niño,1,20,100,4,124
"August 5, 2020",Sun Valley,2,21,228,8,257
"August 5, 2020",Tambo,1,22,119,3,144
"August 5, 2020",Vitalez,1,24,12,0,36
