Date,Legazpi_Total,Legazpi_Current,Ligao_Total,Ligao_Current,Tabaco_Total,Tabaco_Current,Bacacay_Total,Bacacay_Current,Camalig_Total,Camalig_Current,Daraga_Total,Daraga_Current,Guinobatan_Total,Guinobatan_Current,Jovellar_Total,Jovellar_Current,Libon_Total,Libon_Current,Malilipot_Total,Malilipot_Current,Malinao_Total,Malinao_Current,Manito_Total,Manito-Current,Oas_Total,Oas_Current,Pio Duran_Total,Pio Duran_Current,Polangui_Total,Polangui_Current,Rapu_Rapu_Total,Rapu_Rapu-Current,Santo Domingo_Total,Santo Domingo_Current,Tiwi_Total,Tiwi-Current,TOTAL,CURRENT,DEATHS,RECOVERED
"July 21, 2020",47,11,6,3,8,5,3,0,3,2,15,1,11,3,0,0,0,0,0,0,0,0,6,2,4,2,0,0,0,0,0,0,0,0,1,0,104,29,4,71
"July 19, 2020",47,11,6,3,8,5,3,0,2,1,14,0,8,0,0,0,0,0,0,0,0,0,6,2,4,2,0,0,0,0,0,0,0,0,1,0,99,24,4,71
"July 18, 2020",46,10,6,3,8,5,3,0,2,1,14,0,8,0,0,0,0,0,0,0,0,0,6,2,4,2,0,0,0,0,0,0,0,0,1,0,98,23,4,71
"July 16, 2020",44,8,6,3,6,1,3,0,2,1,14,0,8,0,0,0,0,0,0,0,0,0,6,2,4,1,0,0,0,0,0,0,0,0,1,0,94,21,4,69
"July 15, 2020",43,9,6,3,5,2,3,0,2,1,14,0,8,0,0,0,0,0,0,0,0,0,5,5,3,1,0,0,0,0,0,0,0,0,1,0,90,21,4,65
"July 14, 2020",42,8,6,3,4,1,3,0,2,1,14,0,8,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,0,1,0,87,18,4,65
"July 13, 2020",42,8,6,3,4,1,3,0,2,1,14,0,8,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,0,1,0,87,18,4,65
"July 11, 2020",42,9,6,3,4,1,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,0,1,0,86,18,4,64
"July 10, 2020",41,9,6,3,4,1,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,1,0,84,17,3,64
"July 9, 2020",40,8,6,3,3,0,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,1,0,82,15,3,64
"July 8, 2020",40,8,6,3,3,0,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,1,0,82,15,3,64
"July 7, 2020",40,9,3,0,3,0,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,1,1,79,15,3,61
"July 4, 2020",36,6,3,0,3,0,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,1,1,75,12,3,60
"July 2, 2020",36,6,3,0,3,0,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,1,1,75,12,3,60
"June 30, 2020",33,3,3,0,3,0,3,0,1,0,14,0,8,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,1,1,72,9,3,60
"June 2, 2020",28,6,3,0,3,0,1,0,1,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,6,3,47
"June 1, 2020",28,6,3,0,3,0,1,0,1,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,6,3,47
