date,Group,Pop
20200727,Albay,125
20200727,CamNorte,9
20200727,CamSur,147
20200727,Catanduanes,16
20200727,Masbate,57
20200727,Sorsogon,26
20200727,Total,380
20200726,Albay,117
20200726,CamNorte,9
20200726,CamSur,147
20200726,Catanduanes,16
20200726,Masbate,57
20200726,Sorsogon,26
20200726,Total,372
20200725,Albay,111
20200725,CamNorte,9
20200725,CamSur,139
20200725,Catanduanes,16
20200725,Masbate,57
20200725,Sorsogon,22
20200725,Total,354
20200724,Albay,109
20200724,CamNorte,9
20200724,CamSur,134
20200724,Catanduanes,15
20200724,Masbate,50
20200724,Sorsogon,22
20200724,Total,339
20200723,Albay,106
20200723,CamNorte,9
20200723,CamSur,127
20200723,Catanduanes,15
20200723,Masbate,46
20200723,Sorsogon,17
20200723,Total,320
20200722,Albay,106
20200722,CamNorte,9
20200722,CamSur,119
20200722,Catanduanes,15
20200722,Masbate,38
20200722,Sorsogon,15
20200722,Total,302
20200721,Albay,104
20200721,CamNorte,9
20200721,CamSur,109
20200721,Catanduanes,14
20200721,Masbate,38
20200721,Sorsogon,14
20200721,Total,288
20200720,Albay,99
20200720,CamNorte,9
20200720,CamSur,108
20200720,Catanduanes,13
20200720,Masbate,38
20200720,Sorsogon,13
20200720,Total,280
20200719,Albay,99
20200719,CamNorte,9
20200719,CamSur,107
20200719,Catanduanes,13
20200719,Masbate,38
20200719,Sorsogon,12
20200719,Total,287
20200718,Albay,98
20200718,CamNorte,8
20200718,CamSur,104
20200718,Catanduanes,13
20200718,Masbate,38
20200718,Sorsogon,12
20200718,Total,273
20200717,Albay,95
20200717,CamNorte,8
20200717,CamSur,101
20200717,Catanduanes,13
20200717,Masbate,29
20200717,Sorsogon,12
20200717,Total,258
20200716,Albay,94
20200716,CamNorte,8
20200716,CamSur,96
20200716,Catanduanes,10
20200716,Masbate,24
20200716,Sorsogon,12
20200716,Total,244
20200715,Albay,90
20200715,CamNorte,8
20200715,CamSur,95
20200715,Catanduanes,9
20200715,Masbate,22
20200715,Sorsogon,11
20200715,Total,235
20200714,Albay,87
20200714,CamNorte,8
20200714,CamSur,95
20200714,Catanduanes,9
20200714,Masbate,21
20200714,Sorsogon,11
20200714,Total,231
20200713,Albay,87
20200713,CamNorte,8
20200713,CamSur,93
20200713,Catanduanes,8
20200713,Masbate,21
20200713,Sorsogon,11
20200713,Total,228
20200712,Albay,86
20200712,CamNorte,8
20200712,CamSur,93
20200712,Catanduanes,8
20200712,Masbate,21
20200712,Sorsogon,11
20200712,Total,227
20200711,Albay,86
20200711,CamNorte,8
20200711,CamSur,89
20200711,Catanduanes,8
20200711,Masbate,21
20200711,Sorsogon,11
20200711,Total,223
20200710,Albay,84
20200710,CamNorte,8
20200710,CamSur,83
20200710,Catanduanes,8
20200710,Masbate,21
20200710,Sorsogon,11
20200710,Total,215
20200709,Albay,82
20200709,CamNorte,6
20200709,CamSur,83
20200709,Catanduanes,8
20200709,Masbate,18
20200709,Sorsogon,11
20200709,Total,208
20200708,Albay,82
20200708,CamNorte,6
20200708,CamSur,76
20200708,Catanduanes,7
20200708,Masbate,16
20200708,Sorsogon,11
20200708,Total,198
20200707,Albay,79
20200707,CamNorte,6
20200707,CamSur,73
20200707,Catanduanes,7
20200707,Masbate,16
20200707,Sorsogon,9
20200707,Total,190
20200706,Albay,76
20200706,CamNorte,6
20200706,CamSur,65
20200706,Catanduanes,5
20200706,Masbate,5
20200706,Sorsogon,9
20200706,Total,166
20200705,Albay,76
20200705,CamNorte,6
20200705,CamSur,61
20200705,Catanduanes,5
20200705,Masbate,5
20200705,Sorsogon,9
20200705,Total,162
