date,name,District,Suspect_SwabSamplesTaken,Suspect_NewCases,Probable_SwabSamplesTaken,Probable_New Cases,TotalNewCases
"August 7, 2020",Arkong Bato,1,21,0,65,38,38
"August 7, 2020",Bagbaguin,2,7,2,44,34,36
"August 7, 2020",Balangkas,1,13,1,64,34,35
"August 7, 2020",Bignay,1,25,4,46,20,24
"August 7, 2020",Bisig,1,3,1,10,6,7
"August 7, 2020",Canumay East,1,7,0,35,11,11
"August 7, 2020",Canumay West,1,27,1,96,43,44
"August 7, 2020",Coloong,1,11,1,26,15,16
"August 7, 2020",Dalandanan,1,29,2,47,16,18
"August 7, 2020",Gen T. De Leon,2,87,6,299,122,128
"August 7, 2020",Isla,1,7,1,21,14,15
"August 7, 2020",Karuhatan,2,62,7,212,106,113
"August 7, 2020",Lawang Bato,1,4,1,48,28,29
"August 7, 2020",Lingunan,1,14,3,84,37,40
"August 7, 2020",Mabolo,1,4,0,8,3,3
"August 7, 2020",Malanday,1,20,3,61,17,20
"August 7, 2020",Malinta,1,67,5,201,77,82
"August 7, 2020",Mapulang Lupa,2,23,4,67,23,27
"August 7, 2020",Marulas,2,73,14,297,125,139
"August 7, 2020",Maysan,2,42,4,123,61,65
"August 7, 2020",Palasan,1,8,4,28,15,19
"August 7, 2020",Parada,2,18,7,57,35,42
"August 7, 2020",Parancillo Villa,1,1,0,7,4,4
"August 7, 2020",Paso de blas,2,33,2,208,104,106
"August 7, 2020",Pasolo,1,6,0,17,8,8
"August 7, 2020",Poblacion,1,0,0,2,2,2
"August 7, 2020",Pulo,1,2,0,9,1,1
"August 7, 2020",Punturin,1,23,0,52,20,20
"August 7, 2020",Rincon,1,4,2,30,16,18
"August 7, 2020",Tagalag,1,1,0,13,5,5
"August 7, 2020",Ugong,2,34,3,140,71,74
"August 7, 2020",Viente Reales,1,10,2,42,20,22
"August 7, 2020",Wawang Pulo,1,1,0,7,7,7
